year,month,plot,treatment,resourcetreatment,anttreatment
1977,7,1,control,none,none
1977,7,2,control,none,none
1977,7,3,control,none,none
1977,7,4,control,none,none
1977,7,5,control,none,none
1977,7,6,control,none,none
1977,7,7,control,none,none
1977,7,8,control,none,none
1977,7,9,control,none,none
1977,7,10,control,none,none
1977,7,11,control,none,none
1977,7,12,control,none,none
1977,7,13,control,none,none
1977,7,14,control,none,none
1977,7,15,control,none,none
1977,7,16,control,none,none
1977,7,17,control,none,none
1977,7,18,control,none,none
1977,7,19,control,none,none
1977,7,20,control,none,none
1977,7,21,control,none,none
1977,7,22,control,none,none
1977,7,23,control,none,none
1977,8,1,control,none,none
1977,8,2,control,none,none
1977,8,3,control,none,none
1977,8,4,control,none,none
1977,8,5,control,none,none
1977,8,6,control,none,none
1977,8,7,control,none,none
1977,8,8,control,none,none
1977,8,9,control,none,none
1977,8,10,control,none,none
1977,8,11,control,none,none
1977,8,12,control,none,none
1977,8,13,control,none,none
1977,8,14,control,none,none
1977,8,15,control,none,none
1977,8,16,control,none,none
1977,8,17,control,none,none
1977,8,18,control,none,none
1977,8,19,control,none,none
1977,8,20,control,none,none
1977,8,21,control,none,none
1977,8,22,control,none,none
1977,8,23,control,none,none
1977,9,1,control,none,none
1977,9,2,control,none,none
1977,9,3,control,none,none
1977,9,4,control,none,none
1977,9,5,control,none,none
1977,9,6,control,none,none
1977,9,7,control,none,none
1977,9,8,control,none,none
1977,9,9,control,none,none
1977,9,10,control,none,none
1977,9,11,control,none,none
1977,9,12,control,none,none
1977,9,13,control,none,none
1977,9,14,control,none,none
1977,9,15,control,none,none
1977,9,16,control,none,none
1977,9,17,control,none,none
1977,9,18,control,none,none
1977,9,19,control,none,none
1977,9,20,control,none,none
1977,9,21,control,none,none
1977,9,22,control,none,none
1977,9,23,control,none,none
1977,10,1,control,mixed_pulse,none
1977,10,2,control,small_seeds,none
1977,10,3,exclosure,none,none
1977,10,4,control,none,all_ants
1977,10,5,control,none,none
1977,10,6,control,large_seeds,none
1977,10,7,removal,none,none
1977,10,8,control,none,rugosus
1977,10,9,control,mixed_seeds,none
1977,10,10,removal,none,all_ants
1977,10,11,control,none,none
1977,10,12,control,none,none
1977,10,13,control,large_seeds,none
1977,10,14,control,none,none
1977,10,15,exclosure,none,rugosus
1977,10,16,removal,none,none
1977,10,17,control,none,all_ants
1977,10,18,control,mixed_pulse,none
1977,10,19,exclosure,none,none
1977,10,20,control,mixed_seeds,none
1977,10,21,exclosure,none,rugosus
1977,10,22,control,small_seeds,none
1977,10,23,removal,none,all_ants
1977,11,1,control,mixed_pulse,none
1977,11,2,control,small_seeds,none
1977,11,3,exclosure,none,none
1977,11,4,control,none,all_ants
1977,11,5,control,none,none
1977,11,6,control,large_seeds,none
1977,11,7,removal,none,none
1977,11,8,control,none,rugosus
1977,11,9,control,mixed_seeds,none
1977,11,10,removal,none,all_ants
1977,11,11,control,none,none
1977,11,12,control,none,none
1977,11,13,control,large_seeds,none
1977,11,14,control,none,none
1977,11,15,exclosure,none,rugosus
1977,11,16,removal,none,none
1977,11,17,control,none,all_ants
1977,11,18,control,mixed_pulse,none
1977,11,19,exclosure,none,none
1977,11,20,control,mixed_seeds,none
1977,11,21,exclosure,none,rugosus
1977,11,22,control,small_seeds,none
1977,11,23,removal,none,all_ants
1977,12,1,control,mixed_pulse,none
1977,12,2,control,small_seeds,none
1977,12,3,exclosure,none,none
1977,12,4,control,none,all_ants
1977,12,5,control,none,none
1977,12,6,control,large_seeds,none
1977,12,7,removal,none,none
1977,12,8,control,none,rugosus
1977,12,9,control,mixed_seeds,none
1977,12,10,removal,none,all_ants
1977,12,11,control,none,none
1977,12,12,control,none,none
1977,12,13,control,large_seeds,none
1977,12,14,control,none,none
1977,12,15,exclosure,none,rugosus
1977,12,16,removal,none,none
1977,12,17,control,none,all_ants
1977,12,18,control,mixed_pulse,none
1977,12,19,exclosure,none,none
1977,12,20,control,mixed_seeds,none
1977,12,21,exclosure,none,rugosus
1977,12,22,control,small_seeds,none
1977,12,23,removal,none,all_ants
1978,1,1,control,mixed_pulse,none
1978,1,2,control,small_seeds,none
1978,1,3,exclosure,none,none
1978,1,4,control,none,all_ants
1978,1,5,control,none,none
1978,1,6,control,large_seeds,none
1978,1,7,removal,none,none
1978,1,8,control,none,rugosus
1978,1,9,control,mixed_seeds,none
1978,1,10,removal,none,all_ants
1978,1,11,control,none,none
1978,1,12,control,none,none
1978,1,13,control,large_seeds,none
1978,1,14,control,none,none
1978,1,15,exclosure,none,rugosus
1978,1,16,removal,none,none
1978,1,17,control,none,all_ants
1978,1,18,control,mixed_pulse,none
1978,1,19,exclosure,none,none
1978,1,20,control,mixed_seeds,none
1978,1,21,exclosure,none,rugosus
1978,1,22,control,small_seeds,none
1978,1,23,removal,none,all_ants
1978,2,1,control,mixed_pulse,none
1978,2,2,control,small_seeds,none
1978,2,3,exclosure,none,none
1978,2,4,control,none,all_ants
1978,2,5,control,none,none
1978,2,6,control,large_seeds,none
1978,2,7,removal,none,none
1978,2,8,control,none,rugosus
1978,2,9,control,mixed_seeds,none
1978,2,10,removal,none,all_ants
1978,2,11,control,none,none
1978,2,12,control,none,none
1978,2,13,control,large_seeds,none
1978,2,14,control,none,none
1978,2,15,exclosure,none,rugosus
1978,2,16,removal,none,none
1978,2,17,control,none,all_ants
1978,2,18,control,mixed_pulse,none
1978,2,19,exclosure,none,none
1978,2,20,control,mixed_seeds,none
1978,2,21,exclosure,none,rugosus
1978,2,22,control,small_seeds,none
1978,2,23,removal,none,all_ants
1978,3,1,control,mixed_pulse,none
1978,3,2,control,small_seeds,none
1978,3,3,exclosure,none,none
1978,3,4,control,none,all_ants
1978,3,5,control,none,none
1978,3,6,control,large_seeds,none
1978,3,7,removal,none,none
1978,3,8,control,none,rugosus
1978,3,9,control,mixed_seeds,none
1978,3,10,removal,none,all_ants
1978,3,11,control,none,none
1978,3,12,control,none,none
1978,3,13,control,large_seeds,none
1978,3,14,control,none,none
1978,3,15,exclosure,none,rugosus
1978,3,16,removal,none,none
1978,3,17,control,none,all_ants
1978,3,18,control,mixed_pulse,none
1978,3,19,exclosure,none,none
1978,3,20,control,mixed_seeds,none
1978,3,21,exclosure,none,rugosus
1978,3,22,control,small_seeds,none
1978,3,23,removal,none,all_ants
1978,4,1,control,mixed_pulse,none
1978,4,2,control,small_seeds,none
1978,4,3,exclosure,none,none
1978,4,4,control,none,all_ants
1978,4,5,control,none,none
1978,4,6,control,large_seeds,none
1978,4,7,removal,none,none
1978,4,8,control,none,rugosus
1978,4,9,control,mixed_seeds,none
1978,4,10,removal,none,all_ants
1978,4,11,control,none,none
1978,4,12,control,none,none
1978,4,13,control,large_seeds,none
1978,4,14,control,none,none
1978,4,15,exclosure,none,rugosus
1978,4,16,removal,none,none
1978,4,17,control,none,all_ants
1978,4,18,control,mixed_pulse,none
1978,4,19,exclosure,none,none
