"","speciescode","genus","altgenus","species","altspecies","subspecies","commonname","family","duration","community"
"1","carl line","Carlowrightia","","linearifolia","","","Heath wrightwort","Acanthoideae","Perennial","Shrub"
"2","tria port","Trianthema","","portulacastrum","","","Desert Horsepurslane","Aizoaceae","Annual","Summer Annual"
"3","amar palm","Amaranthus","","palmeri","","","Carelessweed","Amaranthaceae","Annual","Summer Annual"
"4","atri acan","Atriplex","","acanthocarpa","","","Tubercled Saltbush","Amaranthaceae","Perennial","Shrub"
"5","atri cane","Atriplex","","canescens","","","Four-wing Saltbush","Amaranthaceae","Perennial","Shrub"
"6","atri eleg","Atriplex","","elegans","","","Wheelscale Saltbush","Amaranthaceae","Annual","Summer Annual"
"7","atri wrig","Atriplex","","wrightii","","","Wright's saltbush","Amaranthaceae","Annual","Summer Annual"
"8","chen frem","Chenopodium","","fremontii","","","Fremont's goosefoot","Amaranthaceae","Annual","Summer and Winter Annual"
"9","chen sp","Chenopodium","","sp.","","","Unknown","Amaranthaceae","Annual","Unknown"
"10","bray dens","Guilleminea","Brayulinea","densa","","var. densa","Small matweed","Amaranthaceae","Perennial","Perennial Forb"
"11","sals kali","Kali","Salsola","tragus","kali","","Russian Thistle","Amaranthaceae","Annual","Summer Annual"
"12","euro lana","Krascheninnikovia","Eurotia","lanata","","","Winterfat","Amaranthaceae","Perennial","Shrub"
"13","tide lanu","Tidestromia","","lanuginosa","","","Woolly Tidestromia","Amaranthaceae","Annual","Summer Annual"
"14","tide sp","Tidestromia","","sp.","","","Unknown","Amaranthaceae","Annual","Unknown"
"15","sper echi","Spermolepis","","echinata","","","Bristly scaleseed","Apiaceae","Annual","Winter Annual"
"16","funa hart","Funastrum","Sarcostemma","hartwegii","cynanchoides","","Hartweg's twinevine","Apocynaceae","Perennial","Perennial Forb"
"17","dich pulc","Dichlostemma","","capitatum","pulchellum","subsp. pauciflorum","Blue Dicks","Asparagaceae","Perennial","Perennial Forb"
"18","yucc elat","Yucca","","elata","","","Soaptree yucca","Asparagaceae","Perennial","Shrub"
"19","ambr arte","Ambrosia","","artemisiifolia","","","Annual ragweed","Asteraceae","Annual","Summer and Winter Annual"
"20","ambr conf","Ambrosia","","confertiflora","","","Weakleaf bur ragweed","Asteraceae","Perennial","Perennial Forb"
"21","ambr sals","Ambrosia","","salsola","","","Winged ragweed","Asteraceae","Perennial","Shrub"
"22","bahi absi","Bahia","","absinthifolia","","","Sageleaf Bahia","Asteraceae","Perennial","Perennial Forb"
"23","bahi bite","Bahia","","biternata","","","Slimlobe bahia","Asteraceae","Annual","Summer Annual"
"24","bail mult","Baileya","","multiradiata","","","Desert marigold","Asteraceae","Annual","Summer and Winter Annual"
"25","bric eupa","Brickellia","","eupatorioides","","var. chlorolepis","False Boneset","Asteraceae","Perennial","Subshrub"
"26","caly wrig","Calycoseris","","wrightii","","","White tackstem","Asteraceae","Annual","Winter Annual"
"27","chae stev","Chaenactis","","stevioides","","","Esteve's pincushion","Asteraceae","Annual","Winter Annual"
"28","chae eric","Chaetopappa","","ericoides","","","Rose heath","Asteraceae","Perennial","Perennial Forb"
"29","cirs neom","Cirsium","","neomexicanum","","","New Mexico thistle","Asteraceae","Perennial","Perennial Forb"
"30","erig conc","Erigeron","","concinnus","","","Navajo Fleabane","Asteraceae","Perennial","Subshrub"
"31","erig dive","Erigeron","","divergens","","","Spreading fleabane","Asteraceae","Annual","Summer and Winter Annual"
"32","erig sp","Erigeron","","sp.","","","Unknown","Asteraceae","Unknown","Unknown"
"33","flou cern","Flourensia","","cernua","","","Tarbush","Asteraceae","Perennial","Shrub"
"34","guti saro","Gutierrezia","","microcephala","sarothrae","","Snakeweed","Asteraceae","Perennial","Shrub"
"35","hapl sp","Haplopappus","","sp.","","","Unknown","Asteraceae","Perennial","Subshrub"
"36","hapl spin","Haplopappus","","spinulosus","","","Lacy tansyaster","Asteraceae","Perennial","Subshrub"
"37","heli annu","Helianthus","","annuus","","","Common sunflower","Asteraceae","Annual","Summer Annual"
"38","hete suba","Heterotheca","","subaxillaris","","","Camphorweed","Asteraceae","Annual","Summer and Winter Annual"
"39","hapl tenu","Isocoma","Haplopappus","tenuisecta","","","Burroweed","Asteraceae","Perennial","Subshrub"
"40","laen coul","Laennecia","","coulteri","","","Coulter's Horseweed","Asteraceae","Annual","Summer and Winter Annual"
"41","hapl grac","Machaeranthera","Haplopappus","gracilis","","","Slender Goldenweed","Asteraceae","Annual","Summer and Winter Annual"
"42","mach tanr","Machaeranthera","","tagetina","tanacetifolia","","Tansyleaf Tansyaster","Asteraceae","Annual","Summer Annual"
"43","mala fend","Malacothrix","","fendleri","","","Fendler's desert dandelion","Asteraceae","Annual","Winter Annual"
"44","mala sp","Malacothrix","","sp.","","","Unknown","Asteraceae","Annual","Winter Annual"
"45","part inca","Parthenium","","incanum","","","Mariola","Asteraceae","Perennial","Shrub"
"46","pect papp","Pectis","","papposa","","","Manybristle Chinchweed","Asteraceae","Annual","Summer Annual"
"47","pere nana","Perezia","Acourtia","nana","","","Dwarf desert holly","Asteraceae","Perennial","Perennial Forb"
"48","pseu cane","Pseudognaphalium","","canescens","","","Wright's cudweed","Asteraceae","Annual","Summer and Winter Annual"
"49","rafi neom","Rafinesquia","","neomexicana","","","New Mexico plumeseed","Asteraceae","Annual","Summer and Winter Annual"
"50","sanv aber","Sanvitalia","","aberti","","","Abert's Creeping Zinnia","Asteraceae","Annual","Summer Annual"
"51","step exig","Stephanomeria","","exigua","","","Small wirelettuce","Asteraceae","Annual","Winter Annual"
"52","dyss pent","Thymophylla","Dyssodia","pentachaeta","","","Fiveneedle pricklyleaf","Asteraceae","Perennial","Subshrub"
"53","micr lene","Uropappus","Microseris","lindleyi","lenearifolia","","Lindley's silverpuffs","Asteraceae","Annual","Winter Annual"
"54","micr sp","Uropappus","Microseris","sp.","","","Unknown","Asteraceae","Annual","Winter Annual"
"55","verb ence","Verbesina","","encelioides","","","Golden Crownbeard","Asteraceae","Annual","Summer Annual"
"56","xant spin","Xanthisma","","spinulosum","","var. chihuahuanum","Chihuahua Tansyaster","Asteraceae","Perennial","Subshrub"
"57","zinn pumi","Zinnia","","acerosa","pumila","","Desert zinnia","Asteraceae","Perennial","Subshrub"
"58","zinn gran","Zinnia","","grandiflora","","","Wild zinnia","Asteraceae","Perennial","Subshrub"
"59","zinn sp","Zinnia","","sp.","","","Unknown","Asteraceae","Perennial","Subshrub"
"60","amsi inte","Amsinckia","","menziesii","intermedia","","Common fiddleneck","Boraginaceae","Annual","Winter Annual"
"61","amsi sp","Amsinckia","","sp.","","","Unknown","Boraginaceae","Annual","Winter Annual"
"62","amsi tess","Amsinckia","","tessellata","","","Bristly Fiddleneck","Boraginaceae","Annual","Winter Annual"
"63","cryp cras","Cryptantha","","crassisepala","","","Thicksepal cryptantha","Boraginaceae","Annual","Winter Annual"
"64","cryp micr","Cryptantha","","micrantha","","","Redroot cryptantha","Boraginaceae","Annual","Winter Annual"
