year,season,plot,quadrat,species,abundance,cover,cf,notes
1981,summer,2,15,pect papp,16,,,
1981,summer,2,31,annu forb,5,,,
1981,summer,2,31,boer torr,3,,,
1981,summer,2,31,erio aber,6,,,
1981,summer,2,31,moll cerv,203,,,
1981,summer,2,31,moll vert,13,,,
1981,summer,2,31,pani ariz,2,,,
1981,summer,2,31,pect papp,4,,,
1981,summer,2,31,port parv,9,,,
1981,summer,2,31,tide lanu,5,,,
1981,summer,2,37,amar palm,9,,,
1981,summer,2,37,boer torr,6,,,
1981,summer,2,37,bout aris,1,,,
1981,summer,2,37,erio aber,8,,,
1981,summer,2,37,moll cerv,3,,,
1981,summer,2,37,moll vert,4,,,
1981,summer,2,37,pani ariz,6,,,
1981,summer,2,37,pect papp,7,,,
1981,summer,2,37,port parv,63,,,
1981,summer,2,37,tide lanu,6,,,
1981,summer,2,37,tria port,8,,,
1981,summer,2,51,boer torr,1,,,
1981,summer,2,51,moll cerv,16,,,
1981,summer,2,51,port parv,8,,,
1981,summer,2,57,annu forb,1,,,
1981,summer,2,57,boer torr,4,,,
1981,summer,2,57,bout aris,13,,,
1981,summer,2,57,erio aber,1,,,
1981,summer,2,57,kall gran,1,,,
1981,summer,2,57,moll cerv,319,,,
1981,summer,2,57,pani ariz,1,,,
1981,summer,2,57,pect papp,1,,,
1981,summer,2,57,port parv,14,,,
1981,summer,2,57,tide lanu,4,,,
1981,summer,2,73,boer torr,2,,,
1981,summer,2,73,erio aber,11,,,
1981,summer,2,73,tide lanu,4,,,
1981,summer,2,75,boer torr,2,,,
1981,summer,2,75,bout aris,2,,,
1981,summer,2,75,erio aber,13,,,
1981,summer,2,75,moll cerv,33,,,
1981,summer,2,75,port parv,3,,,
1981,summer,3,13,annu forb,2,,,
1981,summer,3,13,boer torr,5,,,
1981,summer,3,13,bout aris,6,,,
1981,summer,3,13,crot pumi,1,,,
1981,summer,3,13,erio aber,7,,,
1981,summer,3,15,erio aber,13,,,
1981,summer,3,15,pani ariz,1,,,
1981,summer,3,15,tide lanu,1,,,
1981,summer,3,31,annu forb,1,,,
1981,summer,3,31,boer torr,1,,,
1981,summer,3,31,bout aris,2,,,
1981,summer,3,31,erio aber,7,,,
1981,summer,3,31,moll cerv,2,,,
1981,summer,3,31,moll vert,1,,,
1981,summer,3,31,pani ariz,2,,,
1981,summer,3,31,pect papp,3,,,
1981,summer,3,31,tide lanu,1,,,
1981,summer,3,37,annu forb,1,,,
1981,summer,3,37,bout aris,4,,,
1981,summer,3,37,chen frem,1,,,
1981,summer,3,37,erio aber,12,,,
1981,summer,3,37,moll cerv,1,,,
1981,summer,3,37,pani ariz,11,,,
1981,summer,3,37,tide lanu,2,,,
1981,summer,3,51,annu forb,1,,,
1981,summer,3,51,boer torr,2,,,
1981,summer,3,51,bout aris,41,,,
1981,summer,3,51,erio aber,3,,,
1981,summer,3,51,moll cerv,43,,,
1981,summer,3,51,pani ariz,5,,,
1981,summer,3,51,pect papp,46,,,
1981,summer,3,51,port parv,3,,,
1981,summer,3,57,annu forb,1,,,
1981,summer,3,57,chen frem,1,,,
1981,summer,3,57,erio aber,19,,,
1981,summer,3,57,pect papp,1,,,
1981,summer,3,73,boer torr,3,,,
1981,summer,3,73,bout aris,12,,,
1981,summer,3,73,erio aber,10,,,
1981,summer,3,73,euph micr,1,,,
1981,summer,3,73,moll cerv,2,,,
1981,summer,3,73,pani ariz,2,,,
1981,summer,3,73,pect papp,4,,,
1981,summer,3,75,annu forb,4,,,
1981,summer,3,75,boer torr,10,,,
1981,summer,3,75,bout aris,3,,,
1981,summer,3,75,erio aber,1,,,
1981,summer,3,75,kall gran,1,,,
1981,summer,3,75,moll cerv,4,,,
1981,summer,3,75,pani ariz,15,,,
1981,summer,3,75,pect papp,1,,,
1981,summer,3,75,tide lanu,3,,,
1981,summer,4,13,boer torr,1,,,
1981,summer,4,13,bout aris,8,,,
1981,summer,4,13,chen frem,2,,,
1981,summer,4,13,erio aber,8,,,
1981,summer,4,13,pani ariz,2,,,
1981,summer,4,13,pect papp,1,,,
1981,summer,4,13,tide lanu,2,,,
1981,summer,4,15,bout aris,3,,,
1981,summer,4,15,chen frem,1,,,
1981,summer,4,15,erio aber,11,,,
1981,summer,4,15,pani ariz,1,,,
1981,summer,4,15,pect papp,3,,,
1981,summer,4,31,annu forb,13,,,
1981,summer,4,31,boer torr,1,,,
1981,summer,4,31,bout aris,25,,,
1981,summer,4,31,chen frem,5,,,
1981,summer,4,31,erio aber,31,,,
1981,summer,4,31,pani ariz,4,,,
1981,summer,4,31,pect papp,6,,,
1981,summer,4,31,tide lanu,1,,,
1981,summer,4,37,annu forb,3,,,
1981,summer,4,37,boer torr,1,,,
1981,summer,4,37,bout aris,8,,,
1981,summer,4,37,pect papp,4,,,
1981,summer,4,37,tide lanu,1,,,
1981,summer,4,51,annu forb,1,,,
1981,summer,4,51,boer torr,1,,,
1981,summer,4,51,bout aris,2,,,
1981,summer,4,51,chen frem,1,,,
1981,summer,4,51,erio aber,19,,,
1981,summer,4,51,pect papp,1,,,
1981,summer,4,51,tide lanu,1,,,
1981,summer,4,57,annu forb,11,,,
1981,summer,4,57,boer torr,14,,,
1981,summer,4,57,bout aris,23,,,
1981,summer,4,57,chen frem,2,,,
1981,summer,4,57,erio aber,14,,,
1981,summer,4,57,pect papp,5,,,
1981,summer,4,73,annu forb,1,,,
1981,summer,4,73,boer torr,21,,,
1981,summer,4,73,bout aris,7,,,
1981,summer,4,73,erio aber,15,,,
1981,summer,4,73,euph serr,3,,,
1981,summer,4,73,pani ariz,1,,,
1981,summer,4,73,pect papp,2,,,
1981,summer,4,73,tide lanu,2,,,
1981,summer,4,75,annu forb,1,,,
1981,summer,4,75,boer torr,36,,,
1981,summer,4,75,bout aris,19,,,
1981,summer,4,75,erio aber,25,,,
1981,summer,4,75,pani ariz,2,,,
1981,summer,4,75,pect papp,13,,,
1981,summer,4,75,tide lanu,2,,,
1981,summer,5,13,bout aris,1,,,
1981,summer,5,13,erio aber,17,,,
1981,summer,5,13,pani ariz,1,,,
1981,summer,5,13,pect papp,1,,,
1981,summer,5,15,boer torr,2,,,
1981,summer,5,15,bout aris,1,,,
1981,summer,5,15,erio aber,7,,,
1981,summer,5,15,pani ariz,1,,,
1981,summer,5,15,pect papp,3,,,
1981,summer,5,15,tide lanu,2,,,
1981,summer,5,31,boer torr,1,,,
1981,summer,5,31,bout aris,10,,,
1981,summer,5,31,erio aber,23,,,
1981,summer,5,31,pani ariz,2,,,
1981,summer,5,31,pect papp,2,,,
1981,summer,5,37,boer torr,5,,,
1981,summer,5,37,bout aris,7,,,
1981,summer,5,37,chen frem,1,,,
1981,summer,5,37,erio aber,10,,,
1981,summer,5,37,pani ariz,7,,,
1981,summer,5,37,pect papp,2,,,
1981,summer,5,51,annu forb,1,,,
1981,summer,5,51,bout aris,1,,,
1981,summer,5,51,erio aber,24,,,
1981,summer,5,51,pect papp,2,,,
1981,summer,5,57,annu forb,1,,,
1981,summer,5,57,boer torr,8,,,
1981,summer,5,57,bout aris,8,,,
1981,summer,5,57,erio aber,14,,,
1981,summer,5,57,pani ariz,3,,,
1981,summer,5,57,tide lanu,2,,,
1981,summer,5,73,erio aber,7,,,
1981,summer,5,73,pani ariz,1,,,
1981,summer,5,75,bout aris,4,,,
1981,summer,5,75,chen frem,2,,,
1981,summer,5,75,erio aber,7,,,
1981,summer,6,13,annu forb,4,,,
1981,summer,6,13,erio aber,27,,,
1981,summer,6,13,kall gran,1,,,
1981,summer,6,13,pani ariz,1,,,
1981,summer,6,13,pect papp,1,,,
1981,summer,6,15,boer torr,4,,,
1981,summer,6,15,bout aris,2,,,
1981,summer,6,15,chen frem,1,,,
1981,summer,6,15,erio aber,2,,,
1981,summer,6,15,euph serr,1,,,
1981,summer,6,15,kall gran,1,,,
1981,summer,6,15,pani ariz,4,,,
1981,summer,6,15,pect papp,15,,,
1981,summer,6,15,tide lanu,6,,,
1981,summer,6,31,annu forb,2,,,
1981,summer,6,31,boer torr,5,,,
1981,summer,6,31,bout aris,1,,,
1981,summer,6,31,erio aber,6,,,
1981,summer,6,31,pani ariz,9,,,
1981,summer,6,31,pect papp,27,,,
1981,summer,6,31,tide lanu,2,,,
1981,summer,6,37,annu forb,1,,,
1981,summer,6,37,boer torr,7,,,
1981,summer,6,37,bout aris,2,,,
1981,summer,6,37,erio aber,1,,,
1981,summer,6,37,pani ariz,1,,,
1981,summer,6,37,pect papp,15,,,
1981,summer,6,37,tide lanu,6,,,
1981,summer,6,51,chen frem,1,,,
1981,summer,6,51,erio aber,6,,,
1981,summer,6,57,boer torr,1,,,
1981,summer,6,57,bout aris,35,,,
1981,summer,6,57,erio aber,3,,,
1981,summer,6,57,pani ariz,2,,,
1981,summer,6,57,pect papp,10,,,
1981,summer,6,57,tide lanu,5,,,
1981,summer,6,73,annu forb,2,,,
1981,summer,6,73,boer torr,14,,,
1981,summer,6,73,bout aris,3,,,
1981,summer,6,73,erio aber,19,,,
1981,summer,6,73,moll cerv,5,,,
1981,summer,6,73,moll vert,1,,,
1981,summer,6,73,pani ariz,6,,,
1981,summer,6,73,pect papp,8,,,
1981,summer,6,73,port parv,1,,,
1981,summer,6,73,tide lanu,1,,,
1981,summer,6,75,boer torr,1,,,
1981,summer,6,75,bout aris,3,,,
1981,summer,6,75,erio aber,6,,,
1981,summer,6,75,moll cerv,33,,,
1981,summer,6,75,pect papp,3,,,
1981,summer,6,75,port parv,6,,,
1981,summer,6,75,tide lanu,1,,,
1981,summer,7,13,annu forb,2,,,
1981,summer,7,13,boer torr,2,,,
1981,summer,7,13,chen frem,1,,,
1981,summer,7,13,erio aber,15,,,
1981,summer,7,13,erod cicu,5,,,
1981,summer,7,15,annu forb,1,,,
1981,summer,7,15,boer torr,3,,,
1981,summer,7,15,bout aris,2,,,
1981,summer,7,15,chen frem,2,,,
1981,summer,7,15,erio aber,6,,,
1981,summer,7,15,erod cicu,3,,,
1981,summer,7,15,euph serr,1,,,
1981,summer,7,15,tide lanu,1,,,
1981,summer,7,31,bout aris,2,,,
1981,summer,7,31,erio aber,1,,,
1981,summer,7,37,annu forb,5,,,
1981,summer,7,37,boer torr,9,,,
1981,summer,7,37,bout aris,3,,,
1981,summer,7,37,erio aber,3,,,
1981,summer,7,37,erod cicu,2,,,
1981,summer,7,37,euph serr,1,,,
1981,summer,7,37,pani ariz,1,,,
1981,summer,7,37,pect papp,1,,,
1981,summer,7,37,tide lanu,6,,,
1981,summer,7,51,annu forb,1,,,
1981,summer,7,51,bout aris,1,,,
1981,summer,7,51,euph serr,2,,,
1981,summer,7,51,pani ariz,4,,,
1981,summer,7,57,boer torr,1,,,
1981,summer,7,57,bout aris,8,,,
1981,summer,7,57,erio aber,8,,,
1981,summer,7,57,pani ariz,2,,,
1981,summer,7,57,tide lanu,1,,,
1981,summer,7,73,annu forb,3,,,
1981,summer,7,73,bout aris,1,,,
1981,summer,7,73,erio aber,4,,,
1981,summer,7,73,erod cicu,5,,,
1981,summer,7,73,kall gran,1,,,
1981,summer,7,73,pani ariz,12,,,
1981,summer,7,73,pect papp,1,,,
1981,summer,7,73,tide lanu,2,,,
1981,summer,7,75,bout aris,23,,,
1981,summer,7,75,erio aber,5,,,
1981,summer,7,75,erod cicu,1,,,
1981,summer,7,75,euph serr,1,,,
1981,summer,7,75,kall gran,2,,,
1981,summer,7,75,moll vert,1,,,
1981,summer,7,75,pect papp,1,,,
1981,summer,8,13,amar palm,1,,,
1981,summer,8,13,annu forb,1,,,
1981,summer,8,13,boer torr,51,,,
1981,summer,8,13,bout aris,3,,,
1981,summer,8,13,erio aber,6,,,
1981,summer,8,13,euph exst,2,,,
1981,summer,8,13,euph serr,2,,,
1981,summer,8,13,kall gran,1,,,
1981,summer,8,13,moll cerv,263,,,
1981,summer,8,13,moll vert,112,,,
1981,summer,8,13,pani ariz,24,,,
1981,summer,8,13,pect papp,41,,,
1981,summer,8,13,port parv,456,,,
1981,summer,8,13,tide lanu,20,,,
1981,summer,8,15,annu forb,2,,,
1981,summer,8,15,boer torr,32,,,
1981,summer,8,15,bout aris,6,,,
1981,summer,8,15,erio aber,7,,,
1981,summer,8,15,moll cerv,18,,,
1981,summer,8,15,pani ariz,7,,,
1981,summer,8,15,pect papp,52,,,
1981,summer,8,15,port parv,4,,,
1981,summer,8,15,tide lanu,5,,,
1981,summer,8,31,boer torr,32,,,
1981,summer,8,31,erio aber,6,,,
1981,summer,8,31,moll cerv,2,,,
1981,summer,8,31,pect papp,25,,,
1981,summer,8,31,port parv,1,,,
1981,summer,8,37,boer torr,24,,,
1981,summer,8,37,bout aris,5,,,
1981,summer,8,37,erio aber,31,,,
1981,summer,8,37,euph serr,1,,,
1981,summer,8,37,kall gran,2,,,
1981,summer,8,37,pani ariz,6,,,
1981,summer,8,37,pect papp,8,,,
1981,summer,8,37,tide lanu,6,,,
1981,summer,8,51,annu forb,1,,,
1981,summer,8,51,boer torr,20,,,
1981,summer,8,51,erio aber,2,,,
1981,summer,8,51,pect papp,2,,,
1981,summer,8,51,tide lanu,2,,,
1981,summer,8,57,erio aber,16,,,
1981,summer,8,57,pani ariz,2,,,
1981,summer,8,57,tide lanu,2,,,
1981,summer,8,73,boer torr,2,,,
1981,summer,8,73,erio aber,26,,,
1981,summer,8,73,euph micr,1,,,
1981,summer,8,73,tria port,1,,,
1981,summer,8,75,annu forb,1,,,
1981,summer,8,75,boer torr,1,,,
1981,summer,8,75,bout aris,1,,,
1981,summer,8,75,erio aber,5,,,
1981,summer,8,75,euph micr,2,,,
1981,summer,8,75,moll cerv,6,,,
1981,summer,8,75,pani ariz,1,,,
1981,summer,8,75,pect papp,1,,,
1981,summer,9,13,annu forb,1,,,
1981,summer,9,13,boer torr,9,,,
1981,summer,9,13,bout aris,2,,,
1981,summer,9,13,chen frem,1,,,
1981,summer,9,13,erio aber,4,,,
1981,summer,9,13,euph micr,1,,,
1981,summer,9,13,moll cerv,70,,,
1981,summer,9,13,pani ariz,2,,,
1981,summer,9,13,pect papp,3,,,
1981,summer,9,13,port parv,3,,,
1981,summer,9,13,tide lanu,1,,,
1981,summer,9,13,tria port,1,,,
1981,summer,9,15,annu forb,1,,,
1981,summer,9,15,boer torr,7,,,
1981,summer,9,15,bout aris,9,,,
1981,summer,9,15,erio aber,11,,,
1981,summer,9,15,euph exst,2,,,
1981,summer,9,15,moll cerv,82,,,
1981,summer,9,15,pani ariz,4,,,
1981,summer,9,15,pect papp,66,,,
1981,summer,9,15,tide lanu,1,,,
1981,summer,9,15,tria port,1,,,
1981,summer,9,31,boer torr,3,,,
1981,summer,9,31,bout aris,39,,,
1981,summer,9,31,erio aber,7,,,
1981,summer,9,31,euph micr,1,,,
1981,summer,9,31,euph serr,2,,,
1981,summer,9,31,moll cerv,1,,,
1981,summer,9,31,pani ariz,30,,,
1981,summer,9,31,pect papp,2,,,
1981,summer,9,31,tide lanu,5,,,
1981,summer,9,31,tria port,2,,,
1981,summer,9,37,annu forb,1,,,
1981,summer,9,37,boer torr,4,,,
1981,summer,9,37,bout aris,1,,,
1981,summer,9,37,erio aber,7,,,
1981,summer,9,37,kall gran,1,,,
1981,summer,9,37,pani ariz,11,,,
1981,summer,9,37,pect papp,6,,,
1981,summer,9,37,tide lanu,1,,,
1981,summer,9,37,tria port,1,,,
1981,summer,9,51,annu forb,2,,,
1981,summer,9,51,boer torr,7,,,
1981,summer,9,51,bout aris,13,,,
1981,summer,9,51,erio aber,16,,,
1981,summer,9,51,moll cerv,2,,,
1981,summer,9,51,pani ariz,1,,,
1981,summer,9,51,pect papp,7,,,
1981,summer,9,51,tide lanu,4,,,
1981,summer,9,51,tria port,1,,,
1981,summer,9,57,annu forb,1,,,
1981,summer,9,57,boer torr,5,,,
1981,summer,9,57,bout aris,1,,,
1981,summer,9,57,euph micr,3,,,
1981,summer,9,57,moll cerv,2,,,
1981,summer,9,57,pani ariz,4,,,
1981,summer,9,57,pect papp,38,,,
1981,summer,9,57,tide lanu,1,,,
1981,summer,9,73,boer torr,5,,,
1981,summer,9,73,bout aris,3,,,
1981,summer,9,73,erio aber,6,,,
1981,summer,9,73,moll cerv,2,,,
1981,summer,9,73,pani ariz,2,,,
1981,summer,9,73,pect papp,10,,,
1981,summer,9,75,erio aber,5,,,
1981,summer,9,75,pani ariz,1,,,
1981,summer,10,13,annu forb,2,,,
1981,summer,10,13,boer torr,1,,,
1981,summer,10,13,bout aris,7,,,
1981,summer,10,13,erio aber,27,,,
1981,summer,10,13,euph exst,1,,,
1981,summer,10,13,euph serr,7,,,
1981,summer,10,13,pani ariz,1,,,
1981,summer,10,15,annu forb,2,,,
1981,summer,10,15,boer torr,13,,,
1981,summer,10,15,bout aris,6,,,
1981,summer,10,15,chen frem,1,,,
1981,summer,10,15,erio aber,5,,,
1981,summer,10,15,euph micr,8,,,
1981,summer,10,15,euph serr,1,,,
1981,summer,10,15,moll cerv,13,,,
1981,summer,10,15,pani ariz,5,,,
1981,summer,10,15,pect papp,1,,,
1981,summer,10,15,tide lanu,3,,,
1981,summer,10,31,boer torr,4,,,
1981,summer,10,31,bout aris,52,,,
1981,summer,10,31,erio aber,10,,,
1981,summer,10,31,euph serr,2,,,
1981,summer,10,31,pani ariz,4,,,
1981,summer,10,31,pect papp,19,,,
1981,summer,10,31,tide lanu,11,,,
1981,summer,10,37,boer torr,7,,,
1981,summer,10,37,bout aris,9,,,
1981,summer,10,37,erio aber,32,,,
1981,summer,10,37,euph micr,8,,,
1981,summer,10,37,moll cerv,30,,,
1981,summer,10,37,pani ariz,1,,,
1981,summer,10,37,pect papp,5,,,
1981,summer,10,37,tria port,1,,,
1981,summer,10,51,annu forb,11,,,
1981,summer,10,51,boer torr,1,,,
1981,summer,10,51,bout aris,2,,,
1981,summer,10,51,erio aber,33,,,
1981,summer,10,51,kall gran,1,,,
1981,summer,10,51,moll cerv,1,,,
1981,summer,10,51,pani ariz,5,,,
1981,summer,10,51,pect papp,144,,,
1981,summer,10,51,tide lanu,2,,,
1981,summer,10,57,aris adsc,16,,,
1981,summer,10,57,boer torr,40,,,
1981,summer,10,57,bout aris,33,,,
1981,summer,10,57,erio aber,24,,,
1981,summer,10,57,pani ariz,5,,,
1981,summer,10,57,pect papp,46,,,
1981,summer,10,57,tide lanu,18,,,
1981,summer,10,73,annu forb,4,,,
1981,summer,10,73,boer torr,9,,,
1981,summer,10,73,bout aris,16,,,
1981,summer,10,73,erio aber,7,,,
1981,summer,10,73,moll cerv,28,,,
1981,summer,10,73,pani ariz,5,,,
1981,summer,10,73,pect papp,11,,,
1981,summer,10,75,amar palm,1,,,
1981,summer,10,75,annu forb,3,,,
1981,summer,10,75,boer torr,34,,,
1981,summer,10,75,bout aris,53,,,
1981,summer,10,75,kall gran,1,,,
1981,summer,10,75,moll cerv,18,,,
1981,summer,10,75,pani ariz,4,,,
1981,summer,10,75,pect papp,214,,,
1981,summer,11,13,annu forb,1,,,
1981,summer,11,13,boer torr,1,,,
1981,summer,11,13,bout aris,3,,,
1981,summer,11,13,erio aber,16,,,
1981,summer,11,13,pani ariz,8,,,
1981,summer,11,13,pect papp,65,,,
1981,summer,11,13,tria port,1,,,
1981,summer,11,15,annu forb,1,,,
1981,summer,11,15,boer torr,4,,,
1981,summer,11,15,bout aris,2,,,
1981,summer,11,15,chen frem,1,,,
1981,summer,11,15,erio aber,3,,,
1981,summer,11,15,moll cerv,1,,,
1981,summer,11,15,pani ariz,2,,,
1981,summer,11,15,pect papp,78,,,
1981,summer,11,15,tide lanu,1,,,
1981,summer,11,15,tria port,2,,,
1981,summer,11,31,boer torr,6,,,
1981,summer,11,31,bout aris,10,,,
1981,summer,11,31,erio aber,2,,,
1981,summer,11,31,pani ariz,5,,,
1981,summer,11,31,pect papp,11,,,
1981,summer,11,31,tide lanu,4,,,
1981,summer,11,37,chen frem,1,,,
1981,summer,11,37,erio aber,32,,,
1981,summer,11,37,pani ariz,1,,,
1981,summer,11,37,pect papp,3,,,
1981,summer,11,37,tide lanu,2,,,
1981,summer,11,51,chen frem,8,,,
1981,summer,11,51,erio aber,18,,,
1981,summer,11,51,pect papp,1,,,
1981,summer,11,57,boer torr,10,,,
1981,summer,11,57,erio aber,8,,,
1981,summer,11,57,pect papp,1,,,
1981,summer,11,57,tide lanu,1,,,
1981,summer,11,73,erio aber,18,,,
1981,summer,11,73,pect papp,5,,,
1981,summer,11,75,boer torr,5,,,
1981,summer,11,75,chen frem,1,,,
1981,summer,11,75,erio aber,9,,,
1981,summer,11,75,kall gran,1,,,
1981,summer,11,75,pani ariz,2,,,
1981,summer,11,75,pect papp,16,,,
1981,summer,12,13,amar palm,1,,,
1981,summer,12,13,annu forb,1,,,
1981,summer,12,13,boer torr,17,,,
1981,summer,12,13,bout aris,8,,,
1981,summer,12,13,erio aber,26,,,
1981,summer,12,13,pani ariz,3,,,
1981,summer,12,13,pect papp,39,,,
1981,summer,12,13,tide lanu,1,,,
1981,summer,12,31,erio aber,9,,,
1981,summer,12,31,kall gran,1,,,
1981,summer,12,31,pani ariz,3,,,
1981,summer,12,31,tria port,3,,,
1981,summer,12,37,aris adsc,3,,,
1981,summer,12,37,boer torr,42,,,
1981,summer,12,37,bout aris,5,,,
1981,summer,12,37,crot pumi,2,,,
1981,summer,12,37,erio aber,4,,,
1981,summer,12,37,pect papp,21,,,
1981,summer,12,37,tide lanu,1,,,
1981,summer,12,51,annu forb,3,,,
1981,summer,12,51,boer torr,7,,,
1981,summer,12,51,bout aris,5,,,
1981,summer,12,51,erio aber,17,,,
1981,summer,12,51,kall gran,1,,,
1981,summer,12,51,pani ariz,4,,,
1981,summer,12,51,pect papp,5,,,
1981,summer,12,51,tide lanu,4,,,
1981,summer,12,57,amar palm,4,,,
1981,summer,12,57,annu forb,1,,,
1981,summer,12,57,aris adsc,2,,,
1981,summer,12,57,boer torr,19,,,
1981,summer,12,57,bout aris,1,,,
1981,summer,12,57,moll cerv,5,,,
1981,summer,12,57,pani ariz,5,,,
1981,summer,12,57,pect papp,44,,,
1981,summer,12,57,port parv,4,,,
1981,summer,12,57,tide lanu,18,,,
1981,summer,12,73,annu forb,1,,,
1981,summer,12,73,erio aber,16,,,
1981,summer,12,73,pect papp,12,,,
1981,summer,12,75,boer torr,17,,,
1981,summer,12,75,bout aris,6,,,
1981,summer,12,75,erio aber,12,,,
1981,summer,12,75,pect papp,5,,,
1981,summer,13,13,boer torr,2,,,
1981,summer,13,13,bout aris,1,,,
1981,summer,13,13,erio aber,25,,,
1981,summer,13,13,pani ariz,1,,,
1981,summer,13,13,pect papp,16,,,
1981,summer,13,13,tide lanu,2,,,
1981,summer,13,13,tria port,1,,,
1981,summer,13,15,annu forb,1,,,
1981,summer,13,15,erio aber,17,,,
1981,summer,13,15,erio poly,1,,,
1981,summer,13,15,moll cerv,7,,,
1981,summer,13,15,pani ariz,1,,,
1981,summer,13,15,pect papp,11,,,
1981,summer,13,31,annu forb,2,,,
1981,summer,13,31,boer torr,8,,,
1981,summer,13,31,bout aris,4,,,
1981,summer,13,31,erio aber,16,,,
1981,summer,13,31,moll cerv,2,,,
1981,summer,13,31,pani ariz,4,,,
1981,summer,13,31,pect papp,21,,,
1981,summer,13,31,tide lanu,1,,,
1981,summer,13,31,tria port,1,,,
1981,summer,13,37,amar palm,1,,,
1981,summer,13,37,annu forb,1,,,
1981,summer,13,37,boer torr,7,,,
1981,summer,13,37,crot pumi,2,,,
1981,summer,13,37,erio aber,9,,,
1981,summer,13,37,moll cerv,3,,,
1981,summer,13,37,pani ariz,17,,,
1981,summer,13,37,pect papp,9,,,
1981,summer,13,37,tide lanu,7,,,
1981,summer,13,37,tria port,1,,,
1981,summer,13,51,pani ariz,2,,,
1981,summer,13,57,boer torr,3,,,
1981,summer,13,57,chen frem,1,,,
1981,summer,13,57,erio aber,2,,,
1981,summer,13,57,pani ariz,15,,,
1981,summer,13,57,pect papp,3,,,
1981,summer,13,57,tide lanu,1,,,
1981,summer,13,73,boer torr,1,,,
1981,summer,13,73,bout aris,1,,,
1981,summer,13,73,erio aber,6,,,
1981,summer,13,73,kall gran,3,,,
1981,summer,13,73,pani ariz,1,,,
1981,summer,13,73,pect papp,3,,,
1981,summer,13,73,tide lanu,2,,,
1981,summer,13,75,chen frem,1,,,
1981,summer,13,75,erio aber,14,,,
1981,summer,14,13,erio aber,10,,,
1981,summer,14,13,pani ariz,2,,,
1981,summer,14,15,boer torr,2,,,
1981,summer,14,15,bout aris,2,,,
