"year","plot","transect","species","point"
1989,1,"NE","unkn forb",1
1989,1,"NE","unkn forb",2
1989,1,"NE","unkn forb",3
1989,1,"NE","unkn forb",4
1989,1,"NE","unkn forb",5
1989,1,"NE","unkn forb",6
1989,1,"NE","unkn forb",7
1989,1,"NE","unkn forb",8
1989,1,"NE","unkn forb",9
1989,1,"NE","unkn forb",10
1989,1,"NE","unkn forb",11
1989,1,"NE","unkn forb",12
1989,1,"NE","unkn forb",13
1989,1,"NE","unkn forb",14
1989,1,"NE","unkn forb",15
1989,1,"NE","unkn forb",16
1989,1,"NE","unkn forb",17
1989,1,"NE","unkn forb",18
1989,1,"NE","unkn forb",19
1989,1,"NE","unkn forb",20
1989,1,"NE","unkn forb",21
1989,1,"NE","unkn forb",22
1989,1,"NE","unkn forb",24
1989,1,"NE","unkn forb",25
1989,1,"NE","bout aris",26
1989,1,"NE","unkn forb",27
1989,1,"NE","unkn forb",28
1989,1,"NE","unkn forb",29
1989,1,"NE","unkn forb",30
1989,1,"NE","unkn forb",31
1989,1,"NE","unkn forb",32
1989,1,"NE","unkn forb",33
1989,1,"NE","unkn forb",34
1989,1,"NE","unkn forb",35
1989,1,"NE","unkn forb",36
1989,1,"NE","unkn forb",37
1989,1,"NE","unkn forb",38
1989,1,"NE","unkn forb",40
1989,1,"NE","unkn forb",42
1989,1,"NE","unkn forb",44
1989,1,"NE","unkn forb",45
1989,1,"NE","unkn forb",47
1989,1,"NE","unkn forb",48
1989,1,"NE","unkn forb",49
1989,1,"NE","unkn forb",50
1989,1,"NE","unkn forb",51
1989,1,"NE","unkn forb",52
1989,1,"NE","unkn forb",53
1989,1,"NE","unkn forb",54
1989,1,"NE","unkn forb",55
1989,1,"NE","unkn forb",56
1989,1,"NE","unkn forb",57
1989,1,"NE","pani hirt",58
1989,1,"NE","unkn forb",59
1989,1,"NE","unkn forb",60
1989,1,"NE","bout aris",61
1989,1,"NE","bout aris",62
1989,1,"NE","unkn forb",63
1989,1,"NE","unkn forb",64
1989,1,"NE","unkn forb",65
1989,1,"NE","unkn forb",66
1989,1,"NE","bout aris",67
1989,1,"NE","unkn forb",68
1989,1,"NE","unkn forb",69
1989,1,"NE","unkn forb",70
1989,1,"NE","unkn forb",71
1989,1,"NE","unkn forb",72
1989,1,"NE","unkn forb",73
1989,1,"NE","bout aris",74
1989,1,"NE","unkn forb",75
1989,1,"NE","unkn forb",76
1989,1,"NE","unkn forb",78
1989,1,"NE","unkn forb",79
1989,1,"NE","guti saro",80
1989,1,"NE","unkn forb",81
1989,1,"NE","unkn forb",82
1989,1,"NE","guti saro",83
1989,1,"NE","guti saro",84
1989,1,"NE","unkn forb",85
1989,1,"NE","unkn forb",86
1989,1,"NE","unkn forb",87
1989,1,"NE","unkn forb",88
1989,1,"NE","unkn forb",90
1989,1,"NE","unkn forb",91
1989,1,"NE","unkn forb",92
1989,1,"NE","unkn forb",93
1989,1,"NE","unkn forb",95
1989,1,"NE","unkn forb",96
1989,1,"NE","guti saro",97
1989,1,"NE","guti saro",98
1989,1,"NE","guti saro",99
1989,1,"NE","guti saro",100
1989,1,"NE","guti saro",101
1989,1,"NE","unkn forb",102
1989,1,"NE","aris adsc",103
1989,1,"NE","unkn forb",104
1989,1,"NE","unkn forb",105
1989,1,"NE","unkn forb",106
1989,1,"NE","unkn forb",107
1989,1,"NE","guti saro",108
1989,1,"NE","guti saro",109
1989,1,"NE","guti saro",110
1989,1,"NE","guti saro",111
1989,1,"NE","guti saro",112
1989,1,"NE","guti saro",113
1989,1,"NE","guti saro",114
1989,1,"NE","guti saro",115
1989,1,"NE","guti saro",116
1989,1,"NE","guti saro",117
1989,1,"NE","guti saro",118
1989,1,"NE","guti saro",119
1989,1,"NE","guti saro",120
1989,1,"NE","guti saro",121
1989,1,"NE","guti saro",122
1989,1,"NE","guti saro",123
1989,1,"NE","guti saro",124
1989,1,"NE","guti saro",125
1989,1,"NE","unkn forb",126
1989,1,"NE","unkn forb",127
1989,1,"NE","guti saro",128
1989,1,"NE","guti saro",129
1989,1,"NE","guti saro",130
1989,1,"NE","guti saro",131
1989,1,"NE","guti saro",132
1989,1,"NE","guti saro",133
1989,1,"NE","guti saro",134
1989,1,"NE","guti saro",135
1989,1,"NE","unkn forb",136
1989,1,"NE","unkn forb",137
1989,1,"NE","unkn forb",138
1989,1,"NE","unkn forb",139
1989,1,"NE","unkn forb",140
1989,1,"NE","guti saro",141
1989,1,"NE","unkn forb",142
1989,1,"NE","unkn forb",143
1989,1,"NE","unkn forb",145
1989,1,"NE","unkn forb",148
1989,1,"NE","unkn forb",151
1989,1,"NE","unkn forb",154
1989,1,"NE","unkn forb",155
1989,1,"NE","unkn forb",156
1989,1,"NE","unkn forb",157
1989,1,"NE","unkn forb",158
1989,1,"NE","aris adsc",159
1989,1,"NE","unkn forb",160
1989,1,"NE","aris adsc",161
1989,1,"NE","unkn forb",162
1989,1,"NE","unkn forb",163
1989,1,"NE","unkn forb",164
1989,1,"NE","unkn forb",165
1989,1,"NE","unkn forb",166
1989,1,"NE","unkn forb",167
1989,1,"NE","unkn forb",170
1989,1,"NE","aris adsc",171
1989,1,"NE","unkn forb",173
1989,1,"NE","unkn forb",174
1989,1,"NE","unkn forb",176
1989,1,"NE","unkn forb",178
1989,1,"NE","aris adsc",179
1989,1,"NE","unkn forb",180
1989,1,"NE","guti saro",181
1989,1,"NE","guti saro",182
1989,1,"NE","unkn forb",183
1989,1,"NE","unkn forb",184
1989,1,"NE","unkn forb",185
1989,1,"NE","bout aris",187
1989,1,"NE","unkn forb",188
1989,1,"NE","bout aris",189
1989,1,"NE","unkn forb",192
1989,1,"NE","unkn forb",193
1989,1,"NE","unkn forb",194
1989,1,"NE","unkn forb",195
1989,1,"NE","unkn forb",196
1989,1,"NE","unkn forb",197
1989,1,"NE","unkn forb",200
1989,1,"NE","unkn forb",201
1989,1,"NE","unkn forb",202
1989,1,"NE","unkn forb",203
1989,1,"NE","unkn forb",204
1989,1,"NE","unkn forb",205
1989,1,"NE","unkn forb",206
1989,1,"NE","unkn forb",207
1989,1,"NE","unkn forb",208
1989,1,"NE","unkn forb",209
1989,1,"NE","unkn forb",211
1989,1,"NE","unkn forb",212
1989,1,"NE","unkn forb",213
1989,1,"NE","aris adsc",214
1989,1,"NE","unkn forb",215
1989,1,"NE","aris adsc",218
1989,1,"NE","unkn forb",221
1989,1,"NE","unkn forb",222
1989,1,"NE","unkn forb",223
1989,1,"NE","aris adsc",224
1989,1,"NE","aris adsc",225
1989,1,"NE","unkn forb",227
1989,1,"NE","unkn forb",230
1989,1,"NE","acac cons",231
1989,1,"NE","acac cons",232
1989,1,"NE","acac cons",233
1989,1,"NE","acac cons",234
1989,1,"NE","aris adsc",235
1989,1,"NE","aris adsc",236
1989,1,"NE","aris adsc",237
1989,1,"NE","aris adsc",239
1989,1,"NE","bout aris",240
1989,1,"NE","unkn forb",244
1989,1,"NE","aris adsc",247
1989,1,"NE","aris adsc",249
1989,1,"NE","aris adsc",250
1989,1,"NW","unkn forb",1
1989,1,"NW","unkn forb",2
1989,1,"NW","unkn forb",3
1989,1,"NW","unkn forb",4
1989,1,"NW","unkn forb",5
1989,1,"NW","unkn forb",6
1989,1,"NW","unkn forb",7
1989,1,"NW","unkn forb",8
1989,1,"NW","unkn forb",9
1989,1,"NW","unkn forb",10
1989,1,"NW","unkn forb",11
1989,1,"NW","unkn forb",12
1989,1,"NW","unkn forb",13
1989,1,"NW","unkn forb",16
1989,1,"NW","unkn forb",17
1989,1,"NW","unkn forb",18
1989,1,"NW","unkn forb",19
1989,1,"NW","unkn forb",20
1989,1,"NW","unkn forb",21
1989,1,"NW","unkn forb",22
1989,1,"NW","unkn forb",26
1989,1,"NW","unkn forb",28
1989,1,"NW","unkn forb",29
1989,1,"NW","unkn forb",30
1989,1,"NW","unkn forb",31
1989,1,"NW","unkn forb",32
1989,1,"NW","unkn forb",33
1989,1,"NW","unkn forb",37
1989,1,"NW","unkn forb",38
1989,1,"NW","unkn forb",43
1989,1,"NW","unkn forb",46
1989,1,"NW","unkn forb",47
1989,1,"NW","unkn forb",48
1989,1,"NW","pani ariz",50
1989,1,"NW","unkn forb",53
1989,1,"NW","unkn forb",54
1989,1,"NW","unkn forb",55
1989,1,"NW","unkn forb",56
1989,1,"NW","guti saro",57
1989,1,"NW","guti saro",58
1989,1,"NW","unkn forb",59
1989,1,"NW","unkn forb",60
1989,1,"NW","bout aris",61
1989,1,"NW","unkn forb",62
1989,1,"NW","guti saro",64
1989,1,"NW","unkn forb",65
1989,1,"NW","unkn forb",66
1989,1,"NW","unkn forb",67
1989,1,"NW","unkn forb",69
1989,1,"NW","unkn forb",71
1989,1,"NW","unkn forb",73
1989,1,"NW","guti saro",74
1989,1,"NW","unkn forb",75
1989,1,"NW","unkn forb",76
1989,1,"NW","unkn forb",77
1989,1,"NW","unkn forb",78
1989,1,"NW","unkn forb",79
1989,1,"NW","unkn forb",80
1989,1,"NW","unkn forb",82
1989,1,"NW","unkn forb",85
1989,1,"NW","unkn forb",86
1989,1,"NW","unkn forb",87
1989,1,"NW","unkn forb",88
1989,1,"NW","unkn forb",89
1989,1,"NW","unkn forb",90
1989,1,"NW","unkn forb",91
1989,1,"NW","unkn forb",93
1989,1,"NW","unkn forb",94
1989,1,"NW","unkn forb",96
1989,1,"NW","unkn forb",97
1989,1,"NW","unkn forb",98
1989,1,"NW","unkn forb",99
1989,1,"NW","unkn forb",100
1989,1,"NW","unkn forb",101
1989,1,"NW","unkn forb",105
1989,1,"NW","unkn forb",106
1989,1,"NW","unkn forb",107
1989,1,"NW","unkn forb",109
1989,1,"NW","unkn forb",114
1989,1,"NW","unkn forb",116
1989,1,"NW","unkn forb",117
1989,1,"NW","guti saro",118
1989,1,"NW","guti saro",119
1989,1,"NW","guti saro",120
1989,1,"NW","unkn forb",121
1989,1,"NW","unkn forb",122
1989,1,"NW","unkn forb",123
1989,1,"NW","unkn forb",127
1989,1,"NW","unkn forb",129
1989,1,"NW","unkn forb",130
1989,1,"NW","unkn forb",131
1989,1,"NW","guti saro",132
1989,1,"NW","guti saro",133
1989,1,"NW","unkn forb",138
1989,1,"NW","unkn forb",139
1989,1,"NW","guti saro",141
1989,1,"NW","guti saro",142
1989,1,"NW","unkn forb",144
1989,1,"NW","unkn forb",146
1989,1,"NW","unkn forb",147
1989,1,"NW","unkn forb",148
1989,1,"NW","unkn forb",149
1989,1,"NW","unkn forb",150
1989,1,"NW","unkn forb",151
1989,1,"NW","unkn forb",152
1989,1,"NW","unkn forb",153
1989,1,"NW","unkn forb",155
1989,1,"NW","unkn forb",156
1989,1,"NW","unkn forb",158
1989,1,"NW","unkn forb",159
1989,1,"NW","guti saro",160
1989,1,"NW","guti saro",161
1989,1,"NW","guti saro",162
1989,1,"NW","guti saro",163
1989,1,"NW","guti saro",164
1989,1,"NW","guti saro",165
1989,1,"NW","unkn forb",166
1989,1,"NW","unkn forb",167
1989,1,"NW","unkn forb",168
1989,1,"NW","unkn forb",169
1989,1,"NW","unkn forb",173
1989,1,"NW","unkn forb",174
1989,1,"NW","unkn forb",175
1989,1,"NW","unkn forb",176
1989,1,"NW","unkn forb",178
1989,1,"NW","unkn forb",193
1989,1,"NW","unkn forb",194
1989,1,"NW","unkn forb",195
1989,1,"NW","unkn forb",196
1989,1,"NW","guti saro",198
1989,1,"NW","guti saro",199
1989,1,"NW","guti saro",200
1989,1,"NW","guti saro",201
1989,1,"NW","guti saro",202
1989,1,"NW","guti saro",203
1989,1,"NW","ephe trif",204
1989,1,"NW","ephe trif",205
1989,1,"NW","ephe trif",206
1989,1,"NW","ephe trif",207
1989,1,"NW","ephe trif",208
1989,1,"NW","ephe trif",209
1989,1,"NW","ephe trif",210
1989,1,"NW","ephe trif",211
1989,1,"NW","unkn forb",212
1989,1,"NW","unkn forb",213
1989,1,"NW","unkn forb",214
1989,1,"NW","unkn forb",215
1989,1,"NW","unkn forb",216
1989,1,"NW","unkn forb",217
1989,1,"NW","unkn forb",218
1989,1,"NW","unkn forb",219
1989,1,"NW","unkn forb",220
1989,1,"NW","unkn forb",221
1989,1,"NW","unkn forb",222
1989,1,"NW","guti saro",223
1989,1,"NW","unkn forb",224
1989,1,"NW","unkn forb",227
1989,1,"NW","unkn forb",228
1989,1,"NW","unkn forb",229
1989,1,"NW","unkn forb",230
1989,1,"NW","unkn forb",231
1989,1,"NW","aris adsc",236
1989,1,"NW","aris adsc",237
1989,1,"NW","aris adsc",238
1989,1,"NW","aris adsc",239
1989,1,"NW","aris adsc",240
1989,1,"NW","guti saro",241
1989,1,"NW","guti saro",242
1989,1,"NW","guti saro",243
1989,1,"NW","unkn forb",245
1989,1,"NW","aris adsc",247
1989,1,"NW","pani ariz",249
1989,1,"NW","aris adsc",250
1989,1,"SE","unkn forb",1
1989,1,"SE","unkn forb",2
1989,1,"SE","unkn forb",3
1989,1,"SE","unkn forb",4
1989,1,"SE","unkn forb",6
1989,1,"SE","unkn forb",7
1989,1,"SE","unkn forb",13
1989,1,"SE","unkn forb",17
1989,1,"SE","unkn forb",22
1989,1,"SE","unkn forb",25
1989,1,"SE","unkn forb",26
1989,1,"SE","unkn forb",27
1989,1,"SE","unkn forb",28
1989,1,"SE","unkn forb",29
1989,1,"SE","unkn forb",30
1989,1,"SE","unkn forb",31
1989,1,"SE","unkn forb",32
1989,1,"SE","unkn forb",34
1989,1,"SE","unkn forb",35
1989,1,"SE","unkn forb",36
1989,1,"SE","unkn forb",38
1989,1,"SE","unkn forb",39
1989,1,"SE","guti saro",40
1989,1,"SE","guti saro",41
1989,1,"SE","unkn forb",43
1989,1,"SE","unkn forb",44
1989,1,"SE","unkn forb",45
1989,1,"SE","unkn forb",46
1989,1,"SE","unkn forb",47
1989,1,"SE","unkn forb",48
1989,1,"SE","unkn forb",49
1989,1,"SE","unkn forb",50
1989,1,"SE","unkn forb",51
1989,1,"SE","unkn forb",52
1989,1,"SE","bout aris",53
1989,1,"SE","bout aris",54
1989,1,"SE","unkn forb",55
1989,1,"SE","unkn forb",56
1989,1,"SE","bout aris",57
1989,1,"SE","guti saro",58
1989,1,"SE","bout aris",59
1989,1,"SE","guti saro",60
1989,1,"SE","guti saro",61
1989,1,"SE","guti saro",62
1989,1,"SE","acac cons",63
1989,1,"SE","guti saro",64
1989,1,"SE","guti saro",65
1989,1,"SE","guti saro",66
1989,1,"SE","bout barb",67
1989,1,"SE","bout barb",69
1989,1,"SE","unkn forb",70
1989,1,"SE","unkn forb",71
1989,1,"SE","unkn forb",72
1989,1,"SE","unkn forb",73
1989,1,"SE","unkn forb",74
1989,1,"SE","unkn forb",75
1989,1,"SE","unkn forb",76
1989,1,"SE","unkn forb",77
1989,1,"SE","unkn forb",78
1989,1,"SE","ephe trif",79
1989,1,"SE","ephe trif",80
1989,1,"SE","ephe trif",81
1989,1,"SE","ephe trif",82
1989,1,"SE","ephe trif",83
1989,1,"SE","ephe trif",84
1989,1,"SE","unkn forb",85
1989,1,"SE","unkn forb",86
1989,1,"SE","unkn forb",87
1989,1,"SE","bout aris",88
1989,1,"SE","unkn forb",89
1989,1,"SE","unkn forb",90
1989,1,"SE","unkn forb",91
1989,1,"SE","bout aris",92
1989,1,"SE","unkn forb",93
1989,1,"SE","bout aris",94
1989,1,"SE","unkn forb",95
1989,1,"SE","unkn forb",96
1989,1,"SE","unkn forb",97
1989,1,"SE","unkn forb",99
1989,1,"SE","bout aris",100
1989,1,"SE","unkn forb",101
1989,1,"SE","bout aris",102
1989,1,"SE","unkn forb",104
1989,1,"SE","guti saro",105
1989,1,"SE","unkn forb",106
1989,1,"SE","unkn forb",107
1989,1,"SE","unkn forb",109
1989,1,"SE","aris adsc",110
1989,1,"SE","bout barb",111
1989,1,"SE","bout aris",113
1989,1,"SE","bout aris",114
1989,1,"SE","unkn forb",115
1989,1,"SE","bout aris",116
1989,1,"SE","unkn forb",117
1989,1,"SE","bout aris",118
1989,1,"SE","bout aris",119
1989,1,"SE","unkn forb",120
1989,1,"SE","guti saro",121
1989,1,"SE","guti saro",122
1989,1,"SE","guti saro",123
1989,1,"SE","guti saro",124
1989,1,"SE","unkn forb",125
1989,1,"SE","bout aris",126
1989,1,"SE","unkn forb",127
1989,1,"SE","unkn forb",128
1989,1,"SE","guti saro",129
1989,1,"SE","guti saro",130
1989,1,"SE","unkn forb",131
1989,1,"SE","unkn forb",133
1989,1,"SE","unkn forb",134
1989,1,"SE","unkn forb",135
1989,1,"SE","unkn forb",137
1989,1,"SE","unkn forb",139
1989,1,"SE","guti saro",140
1989,1,"SE","guti saro",141
1989,1,"SE","unkn forb",142
1989,1,"SE","unkn forb",143
1989,1,"SE","guti saro",144
1989,1,"SE","guti saro",145
1989,1,"SE","unkn forb",146
1989,1,"SE","guti saro",147
1989,1,"SE","guti saro",148
1989,1,"SE","unkn forb",149
1989,1,"SE","guti saro",150
1989,1,"SE","guti saro",151
1989,1,"SE","guti saro",152
1989,1,"SE","unkn forb",153
1989,1,"SE","bout aris",154
1989,1,"SE","unkn forb",155
1989,1,"SE","bout aris",156
1989,1,"SE","bout aris",158
1989,1,"SE","guti saro",159
1989,1,"SE","guti saro",160
1989,1,"SE","unkn forb",161
1989,1,"SE","unkn forb",162
1989,1,"SE","unkn forb",163
1989,1,"SE","unkn forb",164
1989,1,"SE","unkn forb",165
1989,1,"SE","unkn forb",166
1989,1,"SE","guti saro",167
1989,1,"SE","guti saro",168
1989,1,"SE","guti saro",169
1989,1,"SE","guti saro",170
1989,1,"SE","guti saro",171
1989,1,"SE","guti saro",172
1989,1,"SE","unkn forb",175
1989,1,"SE","unkn forb",178
